[INFO][2018-05-22 17:26:10,523][org.apache.spark.SparkContext]Running Spark version 1.6.1
[DEBUG][2018-05-22 17:26:10,971][org.apache.hadoop.metrics2.lib.MutableMetricsFactory]field org.apache.hadoop.metrics2.lib.MutableRate org.apache.hadoop.security.UserGroupInformation$UgiMetrics.loginSuccess with annotation @org.apache.hadoop.metrics2.annotation.Metric(about=, always=false, sampleName=Ops, type=DEFAULT, value=[Rate of successful kerberos logins and latency (milliseconds)], valueName=Time)
[DEBUG][2018-05-22 17:26:10,979][org.apache.hadoop.metrics2.lib.MutableMetricsFactory]field org.apache.hadoop.metrics2.lib.MutableRate org.apache.hadoop.security.UserGroupInformation$UgiMetrics.loginFailure with annotation @org.apache.hadoop.metrics2.annotation.Metric(about=, always=false, sampleName=Ops, type=DEFAULT, value=[Rate of failed kerberos logins and latency (milliseconds)], valueName=Time)
[DEBUG][2018-05-22 17:26:10,980][org.apache.hadoop.metrics2.lib.MutableMetricsFactory]field org.apache.hadoop.metrics2.lib.MutableRate org.apache.hadoop.security.UserGroupInformation$UgiMetrics.getGroups with annotation @org.apache.hadoop.metrics2.annotation.Metric(about=, always=false, sampleName=Ops, type=DEFAULT, value=[GetGroups], valueName=Time)
[DEBUG][2018-05-22 17:26:10,982][org.apache.hadoop.metrics2.impl.MetricsSystemImpl]UgiMetrics, User and group related metrics
[DEBUG][2018-05-22 17:26:11,204][org.apache.hadoop.security.authentication.util.KerberosName]Kerberos krb5 configuration not found, setting default realm to empty
[DEBUG][2018-05-22 17:26:11,207][org.apache.hadoop.security.Groups] Creating new Groups object
[DEBUG][2018-05-22 17:26:11,209][org.apache.hadoop.util.NativeCodeLoader]Trying to load the custom-built native-hadoop library...
[DEBUG][2018-05-22 17:26:11,211][org.apache.hadoop.util.NativeCodeLoader]Loaded the native-hadoop library
[DEBUG][2018-05-22 17:26:11,211][org.apache.hadoop.security.JniBasedUnixGroupsMapping]Using JniBasedUnixGroupsMapping for Group resolution
[DEBUG][2018-05-22 17:26:11,211][org.apache.hadoop.security.JniBasedUnixGroupsMappingWithFallback]Group mapping impl=org.apache.hadoop.security.JniBasedUnixGroupsMapping
[DEBUG][2018-05-22 17:26:11,270][org.apache.hadoop.security.Groups]Group mapping impl=org.apache.hadoop.security.JniBasedUnixGroupsMappingWithFallback; cacheTimeout=300000; warningDeltaMs=5000
[DEBUG][2018-05-22 17:26:11,273][org.apache.hadoop.security.UserGroupInformation]hadoop login
[DEBUG][2018-05-22 17:26:11,273][org.apache.hadoop.security.UserGroupInformation]hadoop login commit
[DEBUG][2018-05-22 17:26:11,303][org.apache.hadoop.security.UserGroupInformation]using local user:NTUserPrincipal: Administrator
[DEBUG][2018-05-22 17:26:11,303][org.apache.hadoop.security.UserGroupInformation]Using user: "NTUserPrincipal: Administrator" with name Administrator
[DEBUG][2018-05-22 17:26:11,304][org.apache.hadoop.security.UserGroupInformation]User entry: "Administrator"
[DEBUG][2018-05-22 17:26:11,305][org.apache.hadoop.security.UserGroupInformation]UGI loginUser:Administrator (auth:SIMPLE)
[INFO][2018-05-22 17:26:11,362][org.apache.spark.SecurityManager]Changing view acls to: Administrator
[INFO][2018-05-22 17:26:11,363][org.apache.spark.SecurityManager]Changing modify acls to: Administrator
[INFO][2018-05-22 17:26:11,363][org.apache.spark.SecurityManager]SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(Administrator); users with modify permissions: Set(Administrator)
[DEBUG][2018-05-22 17:26:11,373][org.apache.spark.SSLOptions]No SSL protocol specified
[DEBUG][2018-05-22 17:26:11,570][org.apache.spark.SSLOptions]No SSL protocol specified
[DEBUG][2018-05-22 17:26:11,572][org.apache.spark.SSLOptions]No SSL protocol specified
[DEBUG][2018-05-22 17:26:11,575][org.apache.spark.SecurityManager]SSLConfiguration for file server: SSLOptions{enabled=false, keyStore=None, keyStorePassword=None, trustStore=None, trustStorePassword=None, protocol=None, enabledAlgorithms=Set()}
[DEBUG][2018-05-22 17:26:11,576][org.apache.spark.SecurityManager]SSLConfiguration for Akka: SSLOptions{enabled=false, keyStore=None, keyStorePassword=None, trustStore=None, trustStorePassword=None, protocol=None, enabledAlgorithms=Set()}
[DEBUG][2018-05-22 17:26:11,633][io.netty.util.internal.logging.InternalLoggerFactory]Using SLF4J as the default logging framework
[DEBUG][2018-05-22 17:26:11,636][io.netty.util.internal.PlatformDependent0]java.nio.Buffer.address: available
[DEBUG][2018-05-22 17:26:11,636][io.netty.util.internal.PlatformDependent0]sun.misc.Unsafe.theUnsafe: available
[DEBUG][2018-05-22 17:26:11,636][io.netty.util.internal.PlatformDependent0]sun.misc.Unsafe.copyMemory: available
[DEBUG][2018-05-22 17:26:11,637][io.netty.util.internal.PlatformDependent0]java.nio.Bits.unaligned: true
[DEBUG][2018-05-22 17:26:11,638][io.netty.util.internal.PlatformDependent]Platform: Windows
[DEBUG][2018-05-22 17:26:11,638][io.netty.util.internal.PlatformDependent]Java version: 8
[DEBUG][2018-05-22 17:26:11,638][io.netty.util.internal.PlatformDependent]-Dio.netty.noUnsafe: false
[DEBUG][2018-05-22 17:26:11,638][io.netty.util.internal.PlatformDependent]sun.misc.Unsafe: available
[DEBUG][2018-05-22 17:26:11,638][io.netty.util.internal.PlatformDependent]-Dio.netty.noJavassist: false
[DEBUG][2018-05-22 17:26:11,639][io.netty.util.internal.PlatformDependent]Javassist: unavailable
[DEBUG][2018-05-22 17:26:11,639][io.netty.util.internal.PlatformDependent]You don't have Javassist in your class path or you don't have enough permission to load dynamically generated classes.  Please check the configuration for better performance.
[DEBUG][2018-05-22 17:26:11,639][io.netty.util.internal.PlatformDependent]-Dio.netty.tmpdir: C:\Users\ADMINI~1\AppData\Local\Temp (java.io.tmpdir)
[DEBUG][2018-05-22 17:26:11,639][io.netty.util.internal.PlatformDependent]-Dio.netty.bitMode: 64 (sun.arch.data.model)
[DEBUG][2018-05-22 17:26:11,639][io.netty.util.internal.PlatformDependent]-Dio.netty.noPreferDirect: false
[DEBUG][2018-05-22 17:26:11,649][io.netty.channel.MultithreadEventLoopGroup]-Dio.netty.eventLoopThreads: 8
[DEBUG][2018-05-22 17:26:11,672][io.netty.channel.nio.NioEventLoop]-Dio.netty.noKeySetOptimization: false
[DEBUG][2018-05-22 17:26:11,672][io.netty.channel.nio.NioEventLoop]-Dio.netty.selectorAutoRebuildThreshold: 512
[DEBUG][2018-05-22 17:26:11,689][io.netty.buffer.PooledByteBufAllocator]-Dio.netty.allocator.numHeapArenas: 8
[DEBUG][2018-05-22 17:26:11,689][io.netty.buffer.PooledByteBufAllocator]-Dio.netty.allocator.numDirectArenas: 8
[DEBUG][2018-05-22 17:26:11,689][io.netty.buffer.PooledByteBufAllocator]-Dio.netty.allocator.pageSize: 8192
[DEBUG][2018-05-22 17:26:11,689][io.netty.buffer.PooledByteBufAllocator]-Dio.netty.allocator.maxOrder: 11
[DEBUG][2018-05-22 17:26:11,689][io.netty.buffer.PooledByteBufAllocator]-Dio.netty.allocator.chunkSize: 16777216
[DEBUG][2018-05-22 17:26:11,690][io.netty.buffer.PooledByteBufAllocator]-Dio.netty.allocator.tinyCacheSize: 512
